,id,lottery_date,times,number_1,number_2,number_3,number_4,number_5,number_6,number_7,bonus_number1,bonus_number2,lottery_number
164,114,2015-06-19,114,08,13,26,27,28,29,37,04,12,"08,13,26,27,28,29,37,04,12,"
165,115,2015-06-26,115,06,08,13,14,20,25,27,24,26,"06,08,13,14,20,25,27,24,26,"
166,116,2015-07-03,116,09,14,23,27,28,31,32,03,20,"09,14,23,27,28,31,32,03,20,"
167,117,2015-07-10,117,09,10,20,28,31,34,37,23,26,"09,10,20,28,31,34,37,23,26,"
168,118,2015-07-17,118,05,08,09,24,27,28,30,16,20,"05,08,09,24,27,28,30,16,20,"
169,119,2015-07-24,119,03,06,08,14,15,25,36,24,35,"03,06,08,14,15,25,36,24,35,"
170,120,2015-07-31,120,02,16,18,26,32,35,37,09,36,"02,16,18,26,32,35,37,09,36,"
171,121,2015-08-07,121,02,04,13,16,21,30,37,19,29,"02,04,13,16,21,30,37,19,29,"
172,122,2015-08-14,122,02,16,18,26,27,34,35,05,12,"02,16,18,26,27,34,35,05,12,"
173,123,2015-08-21,123,01,03,05,08,29,34,36,23,28,"01,03,05,08,29,34,36,23,28,"
174,124,2015-08-28,124,01,02,15,17,18,22,36,06,27,"01,02,15,17,18,22,36,06,27,"
175,125,2015-09-04,125,01,06,11,14,19,28,35,18,21,"01,06,11,14,19,28,35,18,21,"
176,126,2015-09-11,126,04,10,13,16,17,21,27,01,18,"04,10,13,16,17,21,27,01,18,"
177,127,2015-09-18,127,10,12,15,23,28,30,35,06,25,"10,12,15,23,28,30,35,06,25,"
178,128,2015-09-25,128,02,04,08,23,26,27,32,03,35,"02,04,08,23,26,27,32,03,35,"
179,129,2015-10-02,129,05,07,11,19,24,27,30,29,35,"05,07,11,19,24,27,30,29,35,"
180,130,2015-10-09,130,01,15,20,23,25,31,32,05,24,"01,15,20,23,25,31,32,05,24,"
181,131,2015-10-16,131,03,04,12,17,32,34,36,23,31,"03,04,12,17,32,34,36,23,31,"
182,132,2015-10-23,132,07,10,14,16,20,30,31,35,37,"07,10,14,16,20,30,31,35,37,"
183,133,2015-10-30,133,03,07,13,15,17,21,30,14,27,"03,07,13,15,17,21,30,14,27,"
184,134,2015-11-06,134,04,09,20,28,30,34,35,12,29,"04,09,20,28,30,34,35,12,29,"
185,135,2015-11-13,135,08,09,13,14,24,32,34,03,04,"08,09,13,14,24,32,34,03,04,"
186,136,2015-11-20,136,10,17,24,27,30,33,37,18,31,"10,17,24,27,30,33,37,18,31,"
187,137,2015-11-27,137,13,19,21,25,27,32,35,16,20,"13,19,21,25,27,32,35,16,20,"
188,138,2015-12-04,138,02,05,17,20,21,32,33,30,35,"02,05,17,20,21,32,33,30,35,"
189,139,2015-12-11,139,09,16,18,21,23,34,35,04,36,"09,16,18,21,23,34,35,04,36,"
190,140,2015-12-18,140,03,11,12,13,17,26,35,01,33,"03,11,12,13,17,26,35,01,33,"
191,141,2015-12-25,141,02,10,18,30,31,32,36,21,29,"02,10,18,30,31,32,36,21,29,"
192,142,2016-01-08,142,06,12,14,18,21,27,28,01,33,"06,12,14,18,21,27,28,01,33,"
193,143,2016-01-15,143,01,03,08,14,28,29,33,04,31,"01,03,08,14,28,29,33,04,31,"
194,144,2016-01-22,144,02,09,13,18,22,32,36,17,26,"02,09,13,18,22,32,36,17,26,"
195,145,2016-01-29,145,10,12,18,28,29,30,35,04,19,"10,12,18,28,29,30,35,04,19,"
196,146,2016-02-05,146,04,10,25,27,28,33,34,15,35,"04,10,25,27,28,33,34,15,35,"
197,147,2016-02-12,147,01,05,07,12,15,24,25,08,14,"01,05,07,12,15,24,25,08,14,"
198,148,2016-02-19,148,01,09,11,16,20,30,34,12,33,"01,09,11,16,20,30,34,12,33,"
199,149,2016-02-26,149,01,04,15,19,22,23,31,12,32,"01,04,15,19,22,23,31,12,32,"
200,150,2016-03-04,150,06,07,14,20,27,31,34,11,24,"06,07,14,20,27,31,34,11,24,"
201,151,2016-03-11,151,09,10,13,15,21,22,24,04,08,"09,10,13,15,21,22,24,04,08,"
202,152,2016-03-18,152,08,12,17,21,23,24,31,06,07,"08,12,17,21,23,24,31,06,07,"
203,153,2016-03-25,153,07,09,10,16,20,28,37,02,33,"07,09,10,16,20,28,37,02,33,"
204,154,2016-04-01,154,02,04,19,21,24,28,35,03,13,"02,04,19,21,24,28,35,03,13,"
205,155,2016-04-08,155,02,09,13,18,22,24,26,10,37,"02,09,13,18,22,24,26,10,37,"
206,156,2016-04-15,156,04,09,16,19,22,33,34,17,36,"04,09,16,19,22,33,34,17,36,"
207,157,2016-04-22,157,05,09,16,26,28,29,32,01,37,"05,09,16,26,28,29,32,01,37,"
208,158,2016-04-29,158,03,06,07,30,32,36,37,05,20,"03,06,07,30,32,36,37,05,20,"
209,159,2016-05-06,159,10,14,17,21,23,27,31,16,24,"10,14,17,21,23,27,31,16,24,"
210,160,2016-05-13,160,01,02,08,24,32,36,37,23,33,"01,02,08,24,32,36,37,23,33,"
211,161,2016-05-20,161,08,14,17,18,20,22,34,04,30,"08,14,17,18,20,22,34,04,30,"
212,162,2016-05-27,162,02,07,08,12,14,23,27,06,10,"02,07,08,12,14,23,27,06,10,"
213,163,2016-06-03,163,01,02,06,16,28,30,31,03,07,"01,02,06,16,28,30,31,03,07,"
214,164,2016-06-10,164,03,13,20,23,31,35,36,02,11,"03,13,20,23,31,35,36,02,11,"
215,165,2016-06-17,165,09,11,14,15,16,18,27,06,20,"09,11,14,15,16,18,27,06,20,"
216,166,2016-06-24,166,14,20,27,29,30,31,37,23,34,"14,20,27,29,30,31,37,23,34,"
217,167,2016-07-01,167,01,03,05,07,10,26,36,19,37,"01,03,05,07,10,26,36,19,37,"
218,168,2016-07-08,168,03,09,12,14,19,20,36,02,05,"03,09,12,14,19,20,36,02,05,"
219,169,2016-07-15,169,01,05,10,20,21,28,30,25,26,"01,05,10,20,21,28,30,25,26,"
220,170,2016-07-22,170,03,05,06,09,27,32,36,12,24,"03,05,06,09,27,32,36,12,24,"
221,171,2016-07-29,171,01,02,06,21,23,27,28,11,16,"01,02,06,21,23,27,28,11,16,"
222,172,2016-08-05,172,05,20,21,27,30,31,36,09,26,"05,20,21,27,30,31,36,09,26,"
223,173,2016-08-12,173,07,09,19,22,24,27,30,04,28,"07,09,19,22,24,27,30,04,28,"
224,174,2016-08-19,174,10,13,14,15,23,31,32,04,29,"10,13,14,15,23,31,32,04,29,"
225,175,2016-08-26,175,06,17,21,31,33,35,37,14,18,"06,17,21,31,33,35,37,14,18,"
226,176,2016-09-02,176,01,11,12,17,22,30,35,15,16,"01,11,12,17,22,30,35,15,16,"
227,177,2016-09-09,177,09,15,19,23,25,34,36,02,35,"09,15,19,23,25,34,36,02,35,"
228,178,2016-09-16,178,06,09,11,15,26,34,36,13,37,"06,09,11,15,26,34,36,13,37,"
229,179,2016-09-23,179,04,09,12,13,22,26,36,05,33,"04,09,12,13,22,26,36,05,33,"
230,180,2016-09-30,180,01,08,11,21,23,25,28,05,37,"01,08,11,21,23,25,28,05,37,"
231,181,2016-10-07,181,07,08,10,13,19,23,24,15,27,"07,08,10,13,19,23,24,15,27,"
232,182,2016-10-14,182,01,07,10,11,20,23,30,03,37,"01,07,10,11,20,23,30,03,37,"
233,183,2016-10-21,183,06,15,20,26,33,34,37,19,29,"06,15,20,26,33,34,37,19,29,"
234,184,2016-10-28,184,07,14,18,22,23,26,34,02,32,"07,14,18,22,23,26,34,02,32,"
235,185,2016-11-04,185,01,02,04,16,26,29,34,11,12,"01,02,04,16,26,29,34,11,12,"
236,186,2016-11-11,186,05,14,16,19,31,33,37,21,28,"05,14,16,19,31,33,37,21,28,"
237,187,2016-11-18,187,04,06,10,23,24,32,36,15,31,"04,06,10,23,24,32,36,15,31,"
238,188,2016-11-25,188,06,15,19,25,26,30,31,14,18,"06,15,19,25,26,30,31,14,18,"
239,189,2016-12-02,189,03,07,08,10,18,23,35,01,19,"03,07,08,10,18,23,35,01,19,"
240,190,2016-12-09,190,02,11,12,18,21,33,36,08,34,"02,11,12,18,21,33,36,08,34,"
241,191,2016-12-16,191,08,15,21,24,26,27,29,07,30,"08,15,21,24,26,27,29,07,30,"
242,192,2016-12-23,192,12,13,14,19,25,33,34,03,22,"12,13,14,19,25,33,34,03,22,"
243,193,2016-12-30,193,04,06,20,21,22,24,31,09,10,"04,06,20,21,22,24,31,09,10,"
244,194,2017-01-06,194,03,06,27,30,31,32,36,14,23,"03,06,27,30,31,32,36,14,23,"
245,195,2017-01-13,195,04,07,12,20,23,24,31,26,35,"04,07,12,20,23,24,31,26,35,"
246,196,2017-01-20,196,07,13,15,25,30,32,37,08,14,"07,13,15,25,30,32,37,08,14,"
247,197,2017-01-27,197,06,08,10,12,16,21,28,14,23,"06,08,10,12,16,21,28,14,23,"
248,198,2017-02-03,198,18,21,31,32,33,36,37,05,25,"18,21,31,32,33,36,37,05,25,"
249,199,2017-02-10,199,01,09,17,20,22,28,29,13,16,"01,09,17,20,22,28,29,13,16,"
250,200,2017-02-17,200,13,14,17,21,27,28,34,01,11,"13,14,17,21,27,28,34,01,11,"
251,201,2017-02-24,201,08,11,17,24,28,31,32,12,34,"08,11,17,24,28,31,32,12,34,"
252,202,2017-03-03,202,03,07,11,16,22,34,37,29,32,"03,07,11,16,22,34,37,29,32,"
253,203,2017-03-10,203,06,13,17,22,32,33,36,12,28,"06,13,17,22,32,33,36,12,28,"
254,204,2017-03-17,204,05,19,20,21,30,34,36,07,12,"05,19,20,21,30,34,36,07,12,"
255,205,2017-03-24,205,04,05,19,31,35,36,37,27,32,"04,05,19,31,35,36,37,27,32,"
256,206,2017-03-31,206,01,06,07,11,27,35,36,22,26,"01,06,07,11,27,35,36,22,26,"
257,207,2017-04-07,207,04,05,10,13,28,32,33,19,26,"04,05,10,13,28,32,33,19,26,"
258,208,2017-04-14,208,04,13,16,18,22,26,33,27,29,"04,13,16,18,22,26,33,27,29,"
259,209,2017-04-21,209,03,04,06,13,22,31,36,28,34,"03,04,06,13,22,31,36,28,34,"
260,210,2017-04-28,210,02,04,06,11,15,19,36,23,34,"02,04,06,11,15,19,36,23,34,"
261,211,2017-05-05,211,07,15,22,25,31,32,35,29,36,"07,15,22,25,31,32,35,29,36,"
262,212,2017-05-12,212,04,06,10,19,20,24,29,01,27,"04,06,10,19,20,24,29,01,27,"
263,213,2017-05-19,213,05,13,15,18,19,24,35,20,23,"05,13,15,18,19,24,35,20,23,"
264,214,2017-05-26,214,02,06,09,12,31,36,37,03,22,"02,06,09,12,31,36,37,03,22,"
265,215,2017-06-02,215,11,12,13,21,29,36,37,07,09,"11,12,13,21,29,36,37,07,09,"
266,216,2017-06-09,216,09,14,22,24,25,36,37,08,28,"09,14,22,24,25,36,37,08,28,"
267,217,2017-06-16,217,04,06,26,27,28,35,36,24,34,"04,06,26,27,28,35,36,24,34,"
268,218,2017-06-23,218,15,16,17,21,26,29,30,10,34,"15,16,17,21,26,29,30,10,34,"
269,219,2017-06-30,219,06,09,13,14,21,25,31,02,04,"06,09,13,14,21,25,31,02,04,"
